"filename", "language", "Python", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "JavaScript", "PostCSS", "Markdown", "XML", "Shell Script", "Dotenv", "comment", "blank", "total"
"c:\projects\diploma\backend\staticfiles\admin\css\responsive_rtl.css", "PostCSS", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 2, 20, 96
"c:\projects\diploma\backend\staticfiles\admin\css\rtl.css", "PostCSS", 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 8, 63, 297
"c:\projects\diploma\backend\staticfiles\admin\css\unusable_password_field.css", "PostCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 4, 20
"c:\projects\diploma\backend\staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\projects\diploma\backend\staticfiles\admin\css\vendor\select2\select2.css", "PostCSS", 0, 0, 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 57, 482
"c:\projects\diploma\backend\staticfiles\admin\css\vendor\select2\select2.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\projects\diploma\backend\staticfiles\admin\css\widgets.css", "PostCSS", 0, 0, 0, 0, 0, 0, 497, 0, 0, 0, 0, 9, 101, 607
"c:\projects\diploma\backend\staticfiles\admin\img\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 14, 18, 81
"c:\projects\diploma\backend\staticfiles\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 1, 45
"c:\projects\diploma\backend\staticfiles\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-alert-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-alert.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
"c:\projects\diploma\backend\staticfiles\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 1, 16
"c:\projects\diploma\backend\staticfiles\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6, 1, 10
